artist,genre_group,artist_popularity,track_name,track_popularity,release_year
Hania Rani,contemporary classical,60,Dreamy,59,2023
Hania Rani,contemporary classical,60,Glass,57,2019
Hania Rani,contemporary classical,60,Woven Song — piano reworks,54,2022
Hania Rani,contemporary classical,60,Esja,53,2019
Hania Rani,contemporary classical,60,Eden,53,2019
Hania Rani,contemporary classical,60,F Major,52,2020
Hania Rani,contemporary classical,60,Hawaii Oslo,51,2019
Hania Rani,contemporary classical,60,Dancing with Ghosts,50,2023
Hania Rani,contemporary classical,60,At Dawn,48,2022
Hania Rani,contemporary classical,60,Malasana,48,2021
Nils Frahm,contemporary classical,60,Late,59,2021
Nils Frahm,contemporary classical,60,Ambre,57,2009
Nils Frahm,contemporary classical,60,20:17,56,2016
Nils Frahm,contemporary classical,60,Them,56,2015
Nils Frahm,contemporary classical,60,Because This Must Be,56,2021
Nils Frahm,contemporary classical,60,My Friend the Forest,54,2018
Nils Frahm,contemporary classical,60,Says,53,2013
Nils Frahm,contemporary classical,60,Some,52,2015
Nils Frahm,contemporary classical,60,Re,51,2012
Nils Frahm,contemporary classical,60,21:05,50,2016
Nubya Garcia,jazz,40,Together Is A Beautiful Place To Be - Nala Sinephro Remix,43,2021
Nubya Garcia,jazz,40,Dentro Ali,43,2025
Nubya Garcia,jazz,40,Set It Free,37,2024
Nubya Garcia,jazz,40,La cumbia me está llamando [Feat. La Perla] - Kaidi Tatham Remix,36,2021
Nubya Garcia,jazz,40,The Message Continues,36,2020
Nubya Garcia,jazz,40,Water's Path,34,2024
Nubya Garcia,jazz,40,Dawn [ft. esperanza spalding],34,2024
Nubya Garcia,jazz,40,Lost Kingdoms,33,2017
Nubya Garcia,jazz,40,Once,30,2018
Nubya Garcia,jazz,40,Triumphance,29,2024
Mammal Hands,jazz,43,Being Here,48,2017
Mammal Hands,jazz,43,Kandaiki,47,2014
Mammal Hands,jazz,43,Alia's Abandon,41,2025
Mammal Hands,jazz,43,Boreal Forest,40,2017
Mammal Hands,jazz,43,Chaser,38,2020
Mammal Hands,jazz,43,Quiet Fire,38,2016
Mammal Hands,jazz,43,Refuge,38,2018
Mammal Hands,jazz,43,Black Sails,38,2017
Mammal Hands,jazz,43,In the Treetops,37,2016
Mammal Hands,jazz,43,Wringer,35,2017
Jordan Rakei,bridge,59,Ottolenghi,65,2019
Jordan Rakei,bridge,59,What It Gave Me,63,2025
Jordan Rakei,bridge,59,Borderline,56,2020
Jordan Rakei,bridge,59,Shadows,55,2022
Jordan Rakei,bridge,59,Midnight Mischief (Tom Misch Remix),55,2016
Jordan Rakei,bridge,59,Family,50,2021
Jordan Rakei,bridge,59,Trust,51,2024
Jordan Rakei,bridge,59,Best Part - BBC Maida Vale Session,50,2020
Jordan Rakei,bridge,59,Add the Bassline,50,2014
Jordan Rakei,bridge,59,Celebrate,39,2025
